name_raw,name_family,name_first,title,fraction,period,state
Ablinger Sonja,Ablinger,Sonja,NA,SPÖ,XX,O
Abraham Gerhard,Abraham,Gerhard,NA,SPÖ,XXI,K
Abram Simon,Abram,Simon,NA,SdP,I,T
Achatz Anna Elisabeth,Achatz,Anna Elisabeth,NA,FPÖ,XVIII,O
"Achleitner Elke, Dipl.-Ing.",Achleitner,Elke,Dipl.-Ing.,F,XXII,O
Achs Matthias,Achs,Matthias,NA,SPÖ,XVII,B
"Adler Friedrich, Dr.",Adler,Friedrich,Dr.,SdP,I,W
Adlersflügel Mathias,Adlersflügel,Mathias,NA,CSP,I,RSM
Afritsch Josef,Afritsch,Josef,NA,SPÖ,X,W
Aichhorn Karl,Aichhorn,Karl,NA,ÖVP,V,W
Aigner Edmund,Aigner,Edmund,NA,SPÖ,V,O
"Aigner Josef, Dr.",Aigner,Josef,Dr.,CSP,I,O
Alberer Alois,Alberer,Alois,NA,SPÖ,XIII,K
Albrecht Anneliese,Albrecht,Anneliese,NA,SPÖ,XIII,W
Allina Heinrich,Allina,Heinrich,NA,SdP,I,W
"Alm Nikolaus, Mag.",Alm,Nikolaus,Mag.,NEOS-LIF,XXV,W
Altenbacher Franz,Altenbacher,Franz,NA,GdP,I,St
Altenburger Erwin,Altenburger,Erwin,NA,ÖVP,V,W
Aman Sepp,Aman,Sepp,NA,OK,I,K
"Amesbauer Hannes, Mag., BA",Amesbauer,Hannes,"Mag., BA",FPÖ,XXVI,St
Amlacher Michael,Amlacher,Michael,NA,SdP,IV,K
"Amon Werner, MBA",Amon,Werner,MBA,ÖVP,XIX,BWV
"Amon Werner siehe Amon Werner, MBA",Amon,Werner,NA,ÖVP,XIX,BWV
"Amtmann Heinrich, Ing.",Amtmann,Heinrich,Ing.,ÖVP,XIV,K
"Androsch Hannes, Dipl.-Kfm. Dr.",Androsch,Hannes,Dipl.-Kfm. Dr.,SPÖ,XI,W
"Androsch Maurice, Ing.",Androsch,Maurice,Ing.,SPÖ,XXVI,N
Angerer Erwin,Angerer,Erwin,NA,FPÖ,XXV,K
"Angerer Hans, Dr.",Angerer,Hans,Dr.,GdP,I,K
Anschober Rudolf,Anschober,Rudolf,NA,GRÜNE,XVIII,O
"Antoni Dieter, Dr.",Antoni,Dieter,Dr.,SPÖ,XVIII,K
Antoni Konrad,Antoni,Konrad,NA,SPÖ,XXV,N
Apfelbeck Ute,Apfelbeck,Ute,NA,FPÖ,XVII,2
"Appel Karl, Dr.",Appel,Karl,Dr.,SdP,IV,W
Appel Rudolf,Appel,Rudolf,NA,SPÖ,V,N
Arthold Josef,Arthold,Josef,NA,ÖVP,XVII,1
"Aslan Aygül Berivan, Mag.",Aslan,Aygül Berivan,Mag.,GRÜNE,XXV,T
Aßmann Alwin,Aßmann,Alwin,NA,WdU,VII,V
"Aspöck Robert, Dr.",Aspöck,Robert,Dr.,FPÖ,XXIII,S
Astl Johann,Astl,Johann,NA,SPÖ,V,T
"Aubauer Gertrude, Mag.",Aubauer,Gertrude,Mag.,ÖVP,XXIII,BWV
Auer Jakob,Auer,Jakob,NA,ÖVP,XVI,O
"Auer Josef, Mag.",Auer,Josef,Mag.,SPÖ,XXIV,T
